PAD; Name
00515; Hartmann Josef 
00518; Harwalik Adolf 
02859; Haselsteiner Hans Peter, Dr. 
00520; Haselwanter Ernst, Dr. 
00522; Hasenauer Bartholomäus 
00524; Hasler Sieghard, Ing. 
00527; Hattmannsdorfer Johann 
00528; Hatzl Johann 
12741; Haubner Peter 
02803; Haubner Ursula 
00531; Haueis Alois 
00532; Haunschmidt Franz 
00533; Haupt Herbert, Mag. 
35515; Hauser Gerald, Mag. 
00534; Hauser Johann Nepomuk 
00539; Hauser Walter, Dr. 
00468; Häuser Rudolf, Ing. 
00469; Häuslmayer Ferdinand, Dr. 
00542; Hautmann Marie 
00544; Hawlicek Hilde, Dr. 
51547; Hechtl Johann 
00547; Heigl Hans 
00548; Heigl Josef 
00552; Heindl Christine 
00553; Heindl Kurt, Dr. 
08177; Heinisch-Hosek Gabriele 
00556; Heinl Eduard, Dr. h.c. 
00560; Heinz Karl 
00561; Heinz Roman 
00563; Heinzinger Walter 
05076; Heinzl Anton 
00564; Heiß Regina 
00565; Heitzinger Johann 
00566; Helbich Leopold, Ing. 
50187; Hell Johann 
00569; Hellwagner Franz 
00570; Helmer Oskar 
47187; Herbert Werner 
00572; Herke Hans 
00573; Hermann Hermann 
00579; Herzele Max 
00581; Hesele Hans, DDr. 
00583; Hesoun Josef 
00582; Hessl Hermann 
00584; Hetzenauer Franz, Dr. 
10092; Hetzl Gerhard, Mag. 
00585; Heuberger August 
00586; Hieden-Sommer Helga, Dr. 
00589; Hietl Franz 
00591; Hillegeist Friedrich 
72959; Himmelbauer Eva-Maria, BSc 
00593; Hinterleithner Ignaz 
00594; Hintermayer Josef 
00595; Hinterndorfer Fritz 
00597; Hirsch Ernst 
00599; Hirscher Josef 
00601; Hlavac Elisabeth, Dr. 
51562; Höbart Christian, Ing. 
02836; Höbinger-Lehrer Liane, Dr. 
00602; Hobl Hans, Ing. 
00606; Hochmair Fritz 
00605; Hochsteiner Heinz, Dipl.-Kfm. 
02296; Hochstetter-Lackner Irene 
00608; Höchtl Josef, Mag. Dr. 
00609; Höchtl Leopold 
00619; Hofeneder Hubert, Dr. 
00620; Hofer Franz, Dr. 
00621; Hofer Hans 
00627; Hofer Johann 
35521; Hofer Norbert, Ing. 
00629; Hoffmann Friedrich 
83299; Hofinger Manfred, Ing. 
16234; Höfinger Johann 
00630; Hofmann Harald 
02837; Hofmann Maximilian, Dipl.-Ing. 
00634; Hofstetter Erich 
00636; Hofstetter Karl, Ing. 
00637; Hohenberg Karl 
00616; Höll Johann 
08855; Höllerer Anna 
00638; Hollersbacher Josef 
00639; Holoubek Karl 
00642; Holzfeind Edmund 
83111; Holzinger-Vogtenhuber Daniela, BA 
00613; Hölzl Anton Franz 
02309; Holzleitner Eva Maria, BSc 
00645; Honner Franz 
00646; Hopfer Sepp 
00647; Horejs Karl 
35489; Hörl Franz 
00649; Horn Alfred 
12247; Horn Josef 
08189; Hornegger Franz 
08210; Hornek Erwin 
03591; Horngacher Katharina 
00651; Horr Franz 
00653; Horvatek Norbert 
00654; Hosch Kaspar 
08255; Hoscher Dietmar, Mag. 
00655; Hosp Maria, Dr. 
00657; Hostasch Eleonora 
02343; Hoyos-Trauttmansdorff Douglas 
35511; Hradecsni Bettina 
00660; Hryntschak Alexander, Dr. 
14759; Huainigg Franz-Joseph, Dr. 
00661; Huber Alois 
00668; Huber Anna 
51575; Huber Gerhard 
00670; Huber Hubert 
00675; Hubinek Marga, Dr. 
00676; Hubmann Georg 
51561; Hübner Johannes, Dr. 
00678; Hueber Anton 
00679; Hueber Franz, Dr. 
00680; Huemer Alois 
00681; Huemer Oskar 
00702; Hummer Josef 
00703; Hums Franz 
52689; Hundstorfer Rudolf 
00705; Hurdes Felix, Dr. 
42287; Hursky Christian 
14760; Hütl Günther, Dipl.-Ing. 
00713; Hutterer Klaus, Dipl.-Ing. Dr. 
15181; Ikrath Peter Michael, Mag. 
00718; Illmer Hans, Ing. 
00719; Iro Jörg, Dr. 
00721; Irsa Karl 
01980; Jachs Johanna, Mag. 
03592; Jäger Inge 
00724; Janecek Johann 
00725; Janicki Oskar 
83149; Jank Brigitte 
00726; Jankowitsch Peter, Dr. 
51563; Jannach Harald 
00727; Janschitz Robert 
57367; Jarmer Helene, Mag. 
02889; Jarolim Johannes, Dr. 
01981; Jeitler-Cincelli Carmen, Mag., BA 
62360; Jenewein Hans-Jörg, MA 
00730; Jerzabek Anton, Dr. 
00732; Jessner Max 
00733; Jiricek Hans 
00735; Jochmann Rosa 
00737; Jonas Franz 
00738; Josseck Helmuth, Dipl.-Vw. 
03451; Jung Wolfgang 
00743; Jungwirth Hans 
51576; Jury Josef 
00744; Jutz Michael 
00751; Kabas Hilmar, Mag. 
00752; Kabesch Erich 
02998; Kainz Alois 
14761; Kainz Christoph 
00755; Kaipel Erwin, Ing. 
00757; Kaiser Richard, Dipl.-Ing. 
00760; Kammerhofer Johann 
02855; Kammerlander Doris, Mag. 
00761; Kampichler Franz 
00763; Kampitsch Julius 
00765; Kandutsch Jörg, Dr. 
01970; Kaniak Gerhard, Mag. 
00767; Kapaun Heinz, Dr. 
14762; Kapeller Norbert, Ing. 
00770; Kapral Emma 
01954; Kapsreiter Gustav 
00772; Karas Othmar, Dr., MBL-HSG 
00773; Karasek Franz, Dr. 
35490; Karl Beatrix, Mag. Dr. 
00774; Karl Elfriede 
51564; Karlsböck Andreas F., Dr. 
00777; Karlsson Irmtraut, Dr. 
83129; Kassegger Axel, MMMag. Dr. 
00782; Katzengruber Franz 
32494; Katzian Wolfgang 
02815; Kaufmann Herbert, Mag. 
01983; Kaufmann Martina, MMSc BA 
00786; Kaufmann Paul, Dr. 
68819; Kaufmann-Bruckberger Elisabeth 
01996; Kecht Anton 
14840; Keck Dietmar 
00789; Keimel Otto, Dipl.-Kfm. Dr. 
00791; Keller Heinrich, Dr. 
00792; Keller Otto 
00794; Keppelmüller Peter, Dipl.-Ing. Dr. 
02941; Kern Christian, Mag. 
01957; Kern Felix 
00795; Kern Leopold 
00797; Kerschbaum Josef 
00798; Kerstnig Hans, Dr. 
06735; Keuschnigg Georg 
00799; Khol Andreas, Dr. 
35520; Kickl Herbert 
01964; Kienböck Viktor, Dr. 
02860; Kier Volker, Dr. 
00800; Kiermaier Günter 
00802; Killisch-Horn Michael, Dipl.-Vw. 
00804; Kindl Wilhelm 
00805; Kinzl Karl 
01984; Kirchbaumer Rebecca 
35495; Kirchgatterer Franz 
00806; Kirchknopf Josef 
00807; Kiss Paul 
00808; Kittl Eduard 
51565; Kitzmüller Anneliese 
00810; Klaus Josef, Dr. 
00811; Klausberger Gerhard, Mag. 
00812; Klautzer Franz 
05195; Klein Anneliese 
00818; Kleiner Viktor, Dr. 
00816; Klein-Löw Stella, Dr. 
00819; Kleissl Robert 
35523; Klement Karlheinz, Dipl.-Ing., MAS 
00823; Klenner Fritz 
00825; Kletzmayr Hermann 
00826; Klieber Mauritius 
51552; Klikovits Oswald 
02791; Klima Viktor, Mag. 
00831; Klimann Thomas 
00833; Klimberger Karl 
88857; Klinger Wolfgang, Ing. 
00835; Klomfar Helmut 
30036; Klug Gerald, Mag. 
00837; Klug Simon 
00846; Knechtelsdorfer Karl 
08190; Knerzl Anton 
83112; Knes Wolfgang 
00847; Kneußl Erich, Dr. 
30352; Knoll Gertraud, Mag. 
00851; Knoll Josef 
00853; Knosp Josef 
83100; Köchl Matthias 
00859; Köck Franz 
00860; Köck Ignaz 
35491; Köfer Gerhard 
08242; Kogler Werner, Mag. 
00886; Kohlmaier Herbert, Dr. 
00888; Kokail Siegfried 
00892; Kolassa Viktor, Dr. 
00894; Kolb Ernst, Dr. 
00895; Kolb Franz, Dr. 
02346; Kolba Peter, Dr. 
00897; Kollarz Friedrich 
00898; Koller Emmerich 
03596; Koller Franz 
00899; Koller Franz 
00903; Kollmann Alfred 
00904; Kollmann Josef 
18666; Kollross Andreas 
00907; Konecny Albrecht 
01174; Konecny Helene 
00870; König Berthold 
00861; König Friedrich, Dipl.-Kfm. DDr. 
14841; Königsberger-Ludwig Ulrike 
02019; Königshofer Werner, DDr. 
00910; Konir Fritz 
00911; Konrad Helga, Dr. 
02822; Kopf Karlheinz 
00912; Kopf Rudolf, Dr. 
00914; Koplenig Johann 
00920; Koppensteiner Gerhard 
00922; Koppler Erhard 
00923; Koref Ernst, Dr. 
00924; Koren Hanns, Dr. 
00925; Koren Stephan, Dipl.-Vw. Dr. 
00877; Körner Theodor, Dr. h.c. 
00926; Korosec Ingrid 
00927; Kortschak Franz, Ing. 
51587; Korun Alev, Mag. 
00928; Kos Wilhelm, Dr. 
08211; Kößl Günter 
00929; Kostelecky Josef 
00930; Kostelka Peter, Dr. 
57488; Köstinger Elisabeth 
00880; Köstler Maria 
00931; Kostroun Ludwig 
00882; Köteles Johann 
00935; Kottek Franz 
03090; Kottulinsky Hans, Dipl.-Ing. 
00940; Kotzina Vinzenz, Dr. 
02328; Kovacevic Christian 
00883; Kövari Susanne 
00944; Kowald Ludwig, Ing. 
00949; Kraft Emil 
00952; Kraft Hermann 
00954; Krainer Josef, Dr. 
14842; Krainer Kai Jan 
00959; Krammer Christa, Dr. 
00960; Krammer Karl 
00961; Kranebitter Franz 
00962; Kranzlmayr Otto, Dr. 
00963; Kratky Josef 
00964; Krauland Peter, Dr. 
00965; Kraus Herbert Alois, Dr. 
00966; Kraus Josef 
01691; Krauss Maximilian 
00946; Kräuter Günther, Dr. 
00948; Kräutl Adolf 
00969; Kreisky Bruno, Dr. 
00973; Krempl Matthias 
00974; Kren Maria 
01985; Krenn Barbara 
02004; Krenn Erika 
00977; Krenn Willibald, Ing. 
00978; Kreutzberger Friedrich 
00979; Krippner Franz 
00980; Krisch Karl 
00981; Krismanich Elfriede, Mag. 
02344; Krisper Stephanie, Dr. 
14843; Krist Hermann 
00982; Kristofics-Binder Rudolf, Dipl.-Kfm. 
00983; Kriz Georg 
00984; Kroboth Rudolf 
03605; Kröll Hermann 
00986; Krones Hilde 
00987; Krottendorfer Leopold 
02838; Krüger Michael, Dr. 
00990; Krünes Helmut, Dipl.-Ing. Dr. 
00992; Krüzner Alexander, Dr. 
00993; Kuba Heinrich 
09073; Kubitschek Maria, Mag. 
35908; Kucharowits Katharina 
83113; Kucher Philip 
01986; Kugler Gudrun, Dr. 
01987; Kühberger Andreas 
00998; Kukacka Helmut, Mag. 
00999; Kulhanek Hans 
01001; Kummer Franz 
01002; Kummer Karl, Dr. 
02816; Kummerer Werner, Dipl.-Ing. 
86603; Kumpitsch Günther, Mag. 
51567; Kunasek Mario 
01003; Kunschak Leopold 
01004; Kunst Josef, Ing. 
01005; Kunstätter Harald 
08178; Kuntzl Andrea, Mag. 
65321; Kurz Sebastian 
02823; Kurzbauer Johann 
05075; Kurzmann Gerhard, Dr. 
03129; Kuss-Bergner Angelika, BEd 
01007; Kuttner Astrid 
35494; Kuzdas Hubert, Ing. Mag. 
01008; Kysela Karl 
00740; Lach Franz, Dr. 
02770; Lacina Ferdinand, Dipl.-Kfm. 
00742; Lackner Friedrich, Ing. 
00745; Lackner Hermann 
